title,artist,sales,release_date
143,GIVE ME EVERYTHING,PITBULL FEATURING NE-YO AFROJACK AND NAYER,2011
144,MR BRIGHTSIDE,KILLERS,2004
145,WHITE CHRISTMAS,BING CROSBY WITH THE KEN DARBY SINGERS AND JOHN SCOTT TROTTER ORCHESTRA,1942
146,THE LION SLEEPS TONIGHT,TIGHT FIT,1982
147,HERO,ENRIQUE IGLESIAS,2002
148,MYSTERIOUS GIRL,PETER ANDRE FEATURING BUBBLER RANX,1995
149,SUGAR SUGAR,THE ARCHIES,1969
150,FIGHT FOR THIS LOVE,CHERYL COLE,2009
151,DON'T GO BREAKING MY HEART,ELTON JOHN & KIKI DEE,1976
152,MAMBO NO.5 (A LITTLE BIT OF...),LOU BEGA,1999
153,WHERE IS THE LOVE,BLACK EYED PEAS,2003
154,YOU'LL NEVER WALK ALONE,GERRY & THE PACEMAKERS,1963
155,JAR OF HEARTS,CHRISTINA PERRI,2011
156,DON'T CRY FOR ME ARGENTINA,JULIE COVINGTON,1976
157,DON'T LOOK BACK IN ANGER,OASIS,1996
158,DON'T SPEAK,NO DOUBT,1997
159,MAKE YOU FEEL MY LOVE,ADELE,2008
160,WHOLE AGAIN,ATOMIC KITTEN,2001
161,CAN WE FIX IT?,BOB THE BUILDER,2000
162,SAVE YOUR KISSES FOR ME,BROTHERHOOD OF MAN,1976
163,STARSHIPS,NICKI MINAJ,2012
164,WHAT MAKES YOU BEAUTIFUL,ONE DIRECTION,2011
165,NEVER GONNA GIVE YOU UP,RICK ASTLEY,1987
166,PARADISE,COLDPLAY,2011
167,ESPECIALLY FOR YOU,KYLIE MINOGUE & JASON DONOVAN,1988
168,I'D LIKE TO TEACH THE WORLD TO SING,THE NEW SEEKERS,1971
169,WHEN WE COLLIDE,MATT CARDLE,2010
170,UNDER THE MOON OF LOVE,SHOWADDYWADDY,1976
171,MY WAY,FRANK SINATRA,1969
172,IRIS,GOO GOO DOLLS,1998
173,TIE A YELLOW RIBBON ROUND THE OLE OAK TREE,DAWN FEATURING TONY ORLANDO,1973
174,GRENADE,BRUNO MARS,2011
175,FORGET YOU,CEE LO GREEN,2011
176,EYE LEVEL,THE SIMON PARK ORCHESTRA,1972
177,SEXY AND I KNOW IT,LMFAO,2011
178,LONG HAIRED LOVER FROM LIVERPOOL,LITTLE JIMMY OSMOND,1972
179,SHAKE IT OFF,TAYLOR SWIFT,2014
